SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;voto_scritto_eng;voto_orale_eng;codice_orario;Cod_Reg;Areageo_5;WLE_ELI_200;LIVELLI_WLE_ELI;peso_studente;peso_classe;peso_scuola;ESCS_studente
1055;32;102;4;13;1;7;4;1;1;1;1;1;8;9;7;7;9;6;3;2;1;162,167376912492;1;37,3846153846154;1,03846153846154;36;,648378210932264
1055;32;103;4;13;1;6;4;1;1;1;1;1;7;8;4;4;5;6;3;2;1;157,827183493541;1;37,3846153846154;1,03846153846154;36;,557679122073594
1055;33;104;4;13;1;2;3;2;3;1;1;1;6;7;4;5;5;6;3;2;1;125,445417789377;1;37,3846153846154;1,03846153846154;36;1,53220918942942
1055;32;105;4;13;1;11;3;4;3;1;1;4;9;9;6;5;9;10;3;2;1;228,762385654595;3;37,3846153846154;1,03846153846154;36;,581729701205061
1055;32;106;4;13;2;8;4;1;1;1;1;1;10;9;6;6;8;7;3;2;1;173,58524173879;2;37,3846153846154;1,03846153846154;36;-,793940461068976
1055;32;107;4;13;2;7;4;1;1;1;1;1;10;10;10;10;10;10;3;2;1;201,366470595649;2;37,3846153846154;1,03846153846154;36;-,91112283394212
1055;32;108;4;13;1;5;4;1;1;1;1;1;7;8;7;9;8;8;3;2;1;162,167376912492;1;37,3846153846154;1,03846153846154;36; 
1055;32;109;4;13;1;4;4;1;1;1;1;1;9;9;7;6;8;8;3;2;1;153,085138528294;1;37,3846153846154;1,03846153846154;36;2,10216548906835
1055;32;110;4;13;1;1;4;1;1;1;1;1;6;7;5;6;8;8;3;2;1;227,59644646751;3;37,3846153846154;1,03846153846154;36;-,604728323459012
1055;32;20517;4;13;1;1;5;1;1;1;1;1;9;9;7;7;9;10;3;2;1;245,687501525736;3;37,3846153846154;1,03846153846154;36;-,604728323459012
1055;33;111;4;13;1;8;3;1;3;1;1;1;6;6;5;5;7;6;3;2;1;125,445417789377;1;37,3846153846154;1,03846153846154;36;,872331562588212
1055;32;112;4;13;2;7;4;1;1;1;1;1;9;9;6;5;9;7;3;2;1;201,987283914925;2;37,3846153846154;1,03846153846154;36;-,116656394434386
1055;32;113;4;13;2;9;4;1;1;1;1;1;7;7;4;4;6;7;3;2;1;154,674137897552;1;37,3846153846154;1,03846153846154;36;-1,6909438718026
1055;32;114;4;13;1;5;4;1;1;1;1;1;9;9;5;6;9;10;3;2;1;199,170843464046;2;37,3846153846154;1,03846153846154;36;-,0379824903594772
1055;32;115;4;13;2;8;3;1;3;1;1;1;8;8;4;4;9;7;3;2;1;149,867389488405;1;37,3846153846154;1,03846153846154;36;-,212736738302673
1055;33;116;4;13;1;12;4;1;1;1;1;1;6;5;4;4;5;6;3;2;1;173,58524173879;2;37,3846153846154;1,03846153846154;36;-,120752192013702
1055;33;117;4;13;2;6;4;1;1;1;1;1;10;10;10;10;10;10;3;2;1;151,453486640485;1;37,3846153846154;1,03846153846154;36;,981890524164148
1055;32;118;4;13;1;11;3;1;3;1;1;1;5;4;4;4;6;7;3;2;1;232,01442785072;3;37,3846153846154;1,03846153846154;36;,743901766587695
1055;32;119;4;13;2;7;4;1;1;1;1;1;9;9;6;6;8;9;3;2;1;134,222929267631;1;37,3846153846154;1,03846153846154;36;-1,21241533023979
1054;31;120;1;13;2;12;4;1;1;1;1;1;12;8;12;6;12;8;3;2;1;264,099694087955;3;23,8790849673203;1,3921568627451;17,1525821596244;,883578985715585
1056;34;121;1;13;1;12;4;1;1;1;1;1;12;9;12;8;12;7;3;2;1;235,748346765157;3;27,6780303030303;1,38636363636364;19,9644808743169;2,10216548906835
1056;34;122;1;13;2;8;4;1;1;1;1;1;12;8;12;6;12;5;3;2;1;192,776737773727;2;27,6780303030303;1,38636363636364;19,9644808743169;1,82281105081257
1056;34;123;1;13;1;3;4;1;1;1;1;1;12;9;12;8;12;7;3;2;1;263,661408500529;3;27,6780303030303;1,38636363636364;19,9644808743169;,872331562588212
1056;34;124;1;13;1;7;4;1;1;1;1;1;12;7;12;5;12;6;3;2;1;221,02684296481;3;27,6780303030303;1,38636363636364;19,9644808743169;-1,91080142587924
1056;34;125;1;13;2;5;4;1;1;1;1;1;12;9;12;9;12;8;3;2;1;276,924730445122;3;27,6780303030303;1,38636363636364;19,9644808743169;,837033560329372
